id,source,brand,branch,province,city,latitude,longitude,rating,review,review_date,reviewer,reply,reply_date,photos_count,url,scraped_at
1,google_maps,Tipax,TIHUB,تهران,تهران,35.7047292,51.2295103,1.0,"The most irresponsible company you can entrust your goods to and be sure that they will not reach the recipient is Tipax. No matter how much you follow up, no one will be held accountable. The only answer that is likely to be given is to ""be patient"" for an unknown period of time, of course!!",5 months ago,Amirshahin Shahinnejad,NULL,NULL,NULL,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,2026-08-02T22:19:03.197885+00:00
2,google_maps,Tipax,TIHUB,تهران,تهران,35.7047292,51.2295103,1.0,The most rubbish post in Iran. Use the government post office if you can and boycott it. Packages are usually lost and no compensation is given. The most rubbish post in Iran. Use the government post office if you can and boycott it. Packages are usually lost and no compensation is given.,6 months ago,feri tanha,NULL,NULL,NULL,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,2026-08-02T22:19:03.197885+00:00
3,google_maps,Tipax,TIHUB,تهران,تهران,35.7047292,51.2295103,1.0,"The most ridiculous company charges more than anywhere else, for example, they say they ship fast, but the package is still in the processing stage in two days, while they say it will arrive in one day. So you can't do what you say, pack up your bags.",Edited 7 months ago,soma s,NULL,NULL,NULL,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,2026-08-02T22:19:03.197885+00:00
4,google_maps,Tipax,TIHUB,تهران,تهران,35.7047292,51.2295103,1.0,"Your most horrible choice for sending packages is Tipax. They don't care about anything. They don't deliver the package, they just say they're not there. They don't care about the customer. Post is 100 times better than this shitty company.",a year ago,shayan q,NULL,NULL,NULL,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,2026-08-02T22:19:03.197885+00:00
5,google_maps,Tipax,TIHUB,تهران,تهران,35.7047292,51.2295103,1.0,Doesn't this stall have a phone number to answer? Four irresponsible people answered the phone? What did we do wrong that we got caught in your business???,7 months ago,Masi Mirmo,NULL,NULL,NULL,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,2026-08-02T22:19:03.197885+00:00
6,google_maps,Tipax,TIHUB,تهران,تهران,35.7047292,51.2295103,1.0,What's the situation with work? We depend on Tipax to get it to us quickly. It's been 4 days late. You're not even answering. I'm suing you.,a year ago,Amir Sayadi,NULL,NULL,NULL,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,2026-08-02T22:19:03.197885+00:00
7,google_maps,Tipax,TIHUB,تهران,تهران,35.7047292,51.2295103,1.0,"If you send it by regular mail, it will arrive much sooner. You are irresponsible about the company's practice.",2 months ago,Ali Musavi,NULL,NULL,NULL,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,2026-08-02T22:19:03.197885+00:00
8,google_maps,Tipax,TIHUB,تهران,تهران,35.7047292,51.2295103,1.0,"I mean, I'm not more stupid than Tipax Nadim in my life. Pick up your bowl and jug.",7 months ago,علی یوسفی,NULL,NULL,NULL,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,2026-08-02T22:19:03.197885+00:00
9,google_maps,Tipax,TIHUB,تهران,تهران,35.7047292,51.2295103,1.0,Bad delivery in the all the time,7 months ago,Abbas Reza,NULL,NULL,NULL,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,2026-08-02T22:19:03.197885+00:00
10,google_maps,Tipax,TIHUB,تهران,تهران,35.7047292,51.2295103,1.0,Ok,2 years ago,Yaser Heydari,NULL,NULL,NULL,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,2026-08-02T22:19:03.197885+00:00
