id,source,brand,branch,city,province,rating,sentiment,emotion,complaint_category,urgency,confidence_score,review_date
1,google_maps,Tipax,TIHUB,تهران,تهران,1.0,Positive,Satisfied,Other,High,90,5 months ago
2,google_maps,Tipax,TIHUB,تهران,تهران,1.0,Negative,Angry,Lost Package,High,90,6 months ago
3,google_maps,Tipax,TIHUB,تهران,تهران,1.0,Positive,Satisfied,Other,High,90,Edited 7 months ago
4,google_maps,Tipax,TIHUB,تهران,تهران,1.0,Negative,Angry,Other,High,90,a year ago
5,google_maps,Tipax,TIHUB,تهران,تهران,1.0,Negative,Angry,Other,High,90,7 months ago
6,google_maps,Tipax,TIHUB,تهران,تهران,1.0,Negative,Angry,Delay,High,90,a year ago
7,google_maps,Tipax,TIHUB,تهران,تهران,1.0,Negative,Angry,Other,High,90,2 months ago
8,google_maps,Tipax,TIHUB,تهران,تهران,1.0,Negative,Angry,Other,High,90,7 months ago
9,google_maps,Tipax,TIHUB,تهران,تهران,1.0,Negative,Angry,Other,High,90,7 months ago
10,google_maps,Tipax,TIHUB,تهران,تهران,1.0,Negative,Angry,Other,High,80,2 years ago
11,google_maps,Tipax,Tipax,NULL,خراسان شمالی,1.0,Negative,Angry,Other,High,100,2 years ago
12,google_maps,Tipax,Tipax,NULL,خراسان شمالی,1.0,Negative,Angry,Delay,High,90,4 years ago
13,google_maps,Tipax,Tipax,NULL,خراسان شمالی,1.0,Negative,Angry,Delay,High,90,6 years ago
14,google_maps,Tipax,Tipax,NULL,خراسان شمالی,3.0,Neutral,Satisfied,Other,Low,80,6 years ago
15,google_maps,Tipax,Tipax,NULL,خراسان شمالی,1.0,Negative,Angry,Other,High,80,4 years ago
16,google_maps,Tipax,Tipax,NULL,خراسان شمالی,5.0,Positive,Happy,Other,Low,80,6 years ago
17,google_maps,Tipax,Tipax,NULL,خراسان شمالی,5.0,Positive,Happy,Other,Low,80,3 years ago
18,google_maps,Tipax,Tipax,NULL,خراسان شمالی,5.0,Positive,Happy,Other,Low,80,2 years ago
19,google_maps,Tipax,Tipax,NULL,خراسان شمالی,5.0,Positive,Happy,Other,Low,80,Edited 7 years ago
20,google_maps,Tipax,Tipax,NULL,خراسان شمالی,5.0,Positive,Happy,Other,Low,80,2 years ago
21,google_maps,Tipax,tipax,NULL,همدان,3.0,Neutral,Satisfied,Other,Low,70,3 years ago
22,google_maps,Tipax,tipax,NULL,همدان,2.0,Negative,Disappointed,Other,Medium,80,7 months ago
23,google_maps,Tipax,تیپاکس 4,58J3+Q8R نصر 1,Bandar Abbas,1.0,Negative,Angry,Mobile App,High,90,3 years ago
24,google_maps,Tipax,تیپاکس 4,58J3+Q8R نصر 1,Bandar Abbas,1.0,Negative,Angry,Pricing,High,90,2 years ago
25,google_maps,Tipax,تیپاکس 4,58J3+Q8R نصر 1,Bandar Abbas,1.0,Negative,Angry,Other,High,90,3 years ago
26,google_maps,Tipax,تیپاکس 4,58J3+Q8R نصر 1,Bandar Abbas,1.0,Negative,Angry,Other,High,100,9 months ago
27,google_maps,Tipax,تیپاکس 4,58J3+Q8R نصر 1,Bandar Abbas,1.0,Negative,Angry,Other,High,80,Edited 2 years ago
28,google_maps,Tipax,تیپاکس,NULL,خراسان شمالی,1.0,Negative,Angry,Other,High,90,a year ago
29,google_maps,Tipax,تیپاکس,NULL,خراسان شمالی,1.0,Negative,Angry,Other,High,90,2 months ago
30,google_maps,Tipax,تیپاکس,NULL,خراسان شمالی,5.0,Positive,Happy,Other,Low,80,4 years ago
31,google_maps,Tipax,تیپاکس,NULL,خراسان شمالی,4.0,Negative,Disappointed,Other,Medium,90,3 years ago
