review_id,brand,branch_name,entity_type,entity_value
687fdef04121d6b1,Chapar,Chaparnet,branch_name_mentioned,Chaparnet
687fdef04121d6b1,Chapar,Chaparnet,city,Tehran
687fdef04121d6b1,Chapar,Chaparnet,province,Tehran
34959569a297a60b,Chapar,Chaparnet,branch_name_mentioned,Chaparnet
34959569a297a60b,Chapar,Chaparnet,city,Tehran
34959569a297a60b,Chapar,Chaparnet,province,Tehran
2a7af40e3611461a,Chapar,Chaparnet,branch_name_mentioned,Chaparnet
2a7af40e3611461a,Chapar,Chaparnet,city,Tehran
2a7af40e3611461a,Chapar,Chaparnet,province,Tehran
8d69e8e07e352190,Chapar,Chaparnet,branch_name_mentioned,Chaparnet
8d69e8e07e352190,Chapar,Chaparnet,city,Tehran
8d69e8e07e352190,Chapar,Chaparnet,province,Tehran
faa6a6cc2a9a74df,Chapar,Chaparnet,branch_name_mentioned,Chaparnet
faa6a6cc2a9a74df,Chapar,Chaparnet,city,Tehran
faa6a6cc2a9a74df,Chapar,Chaparnet,province,Tehran
01546c050d597468,Chapar,Chaparnet,branch_name_mentioned,Chaparnet
01546c050d597468,Chapar,Chaparnet,city,Tehran
01546c050d597468,Chapar,Chaparnet,province,Tehran
2b602764e9b2246c,Chapar,Chaparnet,branch_name_mentioned,Chaparnet
2b602764e9b2246c,Chapar,Chaparnet,city,Tehran
2b602764e9b2246c,Chapar,Chaparnet,province,Tehran
bf8f72b4165c108a,Chapar,Chaparnet,service_type,express
bf8f72b4165c108a,Chapar,Chaparnet,branch_name_mentioned,Chaparnet
bf8f72b4165c108a,Chapar,Chaparnet,city,Tehran
bf8f72b4165c108a,Chapar,Chaparnet,province,Tehran
d3ea0a3cdcfe2a1e,Chapar,Chaparnet,branch_name_mentioned,Chaparnet
d3ea0a3cdcfe2a1e,Chapar,Chaparnet,city,Tehran
d3ea0a3cdcfe2a1e,Chapar,Chaparnet,province,Tehran
11b899397dfb7ee9,Chapar,Chaparnet,branch_name_mentioned,Chaparnet
11b899397dfb7ee9,Chapar,Chaparnet,city,Tehran
11b899397dfb7ee9,Chapar,Chaparnet,province,Tehran
f31e68e35f51cf2e,Chapar,کالا رسانان چاپار,branch_name_mentioned,کالا رسانان چاپار
f31e68e35f51cf2e,Chapar,کالا رسانان چاپار,city,Tehran
f31e68e35f51cf2e,Chapar,کالا رسانان چاپار,province,Tehran
8347a2615473d56c,Chapar,کالا رسانان چاپار,branch_name_mentioned,کالا رسانان چاپار
