review_id,brand,branch_name,city,province,rating,sentiment,emotion,complaint_category,urgency,confidence_score,review_source,review_date,latitude,longitude,branch_review_count,branch_average_rating,branch_sentiment_score,branch_complaint_rate,branch_data_confidence
687fdef04121d6b1,Chapar,Chaparnet,Tehran,Tehran,1.0,Negative,Angry,delivery_delay,High,90,google_maps,a year ago,35.7077191,51.2104082,10,2.7,40.0,60.0,زیاد
34959569a297a60b,Chapar,Chaparnet,Tehran,Tehran,2.0,Negative,Frustrated,delivery_delay,High,90,google_maps,a year ago,35.7077191,51.2104082,10,2.7,40.0,60.0,زیاد
2a7af40e3611461a,Chapar,Chaparnet,Tehran,Tehran,5.0,Positive,Happy,other,Low,70,google_maps,2 years ago,35.7077191,51.2104082,10,2.7,40.0,60.0,زیاد
8d69e8e07e352190,Chapar,Chaparnet,Tehran,Tehran,5.0,Positive,Happy,other,Low,80,google_maps,Edited 8 years ago,35.7077191,51.2104082,10,2.7,40.0,60.0,زیاد
faa6a6cc2a9a74df,Chapar,Chaparnet,Tehran,Tehran,5.0,Positive,Happy,other,Low,70,google_maps,4 years ago,35.7077191,51.2104082,10,2.7,40.0,60.0,زیاد
01546c050d597468,Chapar,Chaparnet,Tehran,Tehran,1.0,Negative,Angry,staff_behavior,High,90,google_maps,5 months ago,35.7077191,51.2104082,10,2.7,40.0,60.0,زیاد
2b602764e9b2246c,Chapar,Chaparnet,Tehran,Tehran,1.0,Negative,Angry,other,High,90,google_maps,7 months ago,35.7077191,51.2104082,10,2.7,40.0,60.0,زیاد
bf8f72b4165c108a,Chapar,Chaparnet,Tehran,Tehran,1.0,Negative,Angry,staff_behavior,Critical,100,google_maps,7 months ago,35.7077191,51.2104082,10,2.7,40.0,60.0,زیاد
d3ea0a3cdcfe2a1e,Chapar,Chaparnet,Tehran,Tehran,1.0,Negative,Angry,support,High,90,google_maps,11 months ago,35.7077191,51.2104082,10,2.7,40.0,60.0,زیاد
11b899397dfb7ee9,Chapar,Chaparnet,Tehran,Tehran,5.0,Positive,Happy,tracking,Low,90,google_maps,11 months ago,35.7077191,51.2104082,10,2.7,40.0,60.0,زیاد
f31e68e35f51cf2e,Chapar,کالا رسانان چاپار,Tehran,Tehran,1.0,Positive,Satisfied,other,High,90,google_maps,a year ago,35.8405724,50.956068,10,1.5,30.0,70.0,زیاد
8347a2615473d56c,Chapar,کالا رسانان چاپار,Tehran,Tehran,1.0,Negative,Angry,other,High,90,google_maps,a year ago,35.8405724,50.956068,10,1.5,30.0,70.0,زیاد
da803be9e5faa865,Chapar,کالا رسانان چاپار,Tehran,Tehran,1.0,Negative,Angry,other,High,90,google_maps,a year ago,35.8405724,50.956068,10,1.5,30.0,70.0,زیاد
8a69f6b367c1b662,Chapar,کالا رسانان چاپار,Tehran,Tehran,1.0,Negative,Angry,other,Critical,100,google_maps,2 years ago,35.8405724,50.956068,10,1.5,30.0,70.0,زیاد
ca318709653dd6ec,Chapar,کالا رسانان چاپار,Tehran,Tehran,1.0,Positive,Satisfied,other,High,90,google_maps,2 years ago,35.8405724,50.956068,10,1.5,30.0,70.0,زیاد
62042db1c4666cbb,Chapar,کالا رسانان چاپار,Tehran,Tehran,2.0,Negative,Disappointed,tracking,Medium,90,google_maps,2 years ago,35.8405724,50.956068,10,1.5,30.0,70.0,زیاد
